Stu Strm Ldesc,Ag Area Sdesc,Cla Subject Ldesc,Cla Catalog Nbr,Cla Class Section,Cla Instructor Name,Official Enrollmt,Grades Received,Grades Pct of Enrolled,gpa,A,A-,B+,B,B- ,C+,C,C- ,D+,D,D- ,"F, F+",W,Cr,Nc,Other
Fall 2016,L&S,Honors College, 380,001,"Lampert,Nicolas R",15,15,100.0%,3.778,12,,,2,1,,,,,,,,,,,
Fall 2016,L&S,Honors College, 380,002,"Gabor,Eunice P",16,16,100.0%,3.979,15,1,,,,,,,,,,,,,,
Fall 2016,L&S,Honors College, 380,Course Total,Course Total,31,31,100.0%,3.882,27,1,,2,1,,,,,,,,,,,
Fall 2016,L&S,Industrial and Labor Relations, 701,001,"Gibson,Jessica M",6,6,100.0%,3.445,2,2,1,,,,1,,,,,,,,,
Fall 2016,L&S,Industrial and Labor Relations, 701,Course Total,Course Total,6,6,100.0%,3.445,2,2,1,,,,1,,,,,,,,,
Fall 2016,L&S,Industrial and Labor Relations, 712,001,"Levy,Alan M",12,12,100.0%,3.499,6,,3,2,,,1,,,,,,,,,
Fall 2016,L&S,Industrial and Labor Relations, 712,Course Total,Course Total,12,12,100.0%,3.499,6,,3,2,,,1,,,,,,,,,
Fall 2016,L&S,Industrial and Labor Relations, 715,001,"Kelly,Moira Jane",9,9,100.0%,3.186,4,1,,3,,,,,,,,1,,,,
Fall 2016,L&S,Industrial and Labor Relations, 715,Course Total,Course Total,9,9,100.0%,3.186,4,1,,3,,,,,,,,1,,,,
Fall 2016,L&S,International Studies, 550,001,"Bornstein,Erica L",22,22,100.0%,3.533,8,3,6,,2,1,,,,,,,,,,2
Fall 2016,L&S,International Studies, 550,Course Total,Course Total,22,22,100.0%,3.533,8,3,6,,2,1,,,,,,,,,,2
Fall 2016,L&S,Italian, 103,001,"Pessarelli,Claudia",19,17,89.5%,2.355,1,3,2,2,,2,1,,,1,,3,1,,,2
Fall 2016,L&S,Italian, 103,002,"Pessarelli,Claudia",11,10,90.9%,2.968,3,1,1,,2,,1,2,,,,,,,,
Fall 2016,L&S,Italian, 103,003,"Soldati,Lucia",20,19,95.0%,3.087,7,2,1,2,1,2,2,,2,,,,1,,,
Fall 2016,L&S,Italian, 103,004,"Iaquinta,Mary A",16,14,87.5%,3.500,8,2,,1,,2,1,,,,,,,,,
Fall 2016,L&S,Italian, 103,005,"Soldati,Lucia",21,21,100.0%,3.148,10,,1,1,3,1,,,,,,2,,,,3
Fall 2016,L&S,Italian, 103,006,"Soldati,Lucia",22,19,86.4%,3.059,5,1,2,2,2,2,2,1,,,,,3,,,2
